Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,total employee estimate1,current employee estimate1
5372097,bank of america,bankofamerica.com,1968.0,banking,10001+,"charlotte, north carolina, united states",united states,linkedin.com/company/bank-of-america,97357,279769,279769.0,97357
1170519,jpmorgan chase & co.,jpmorganchase.com,1823.0,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/jpmorgan-chase,95234,242135,242135.0,95234
4000842,us navy,navy.com,,military,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/us-navy,94458,325740,325740.0,94458
4306268,amazon,amazon.com,1994.0,internet,10001+,"seattle, washington, united states",united states,linkedin.com/company/amazon,93247,161866,161866.0,93247
5735407,apple,apple.com,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095,179531,179531.0,90095
2441266,siemens,siemens.com,1847.0,electrical/electronic manufacturing,10001+,"munich, bavaria, germany",germany,linkedin.com/company/siemens,87381,240528,240528.0,87381
229577,oracle,oracle.com,1977.0,information technology and services,10001+,"redwood shores, california, united states",united states,linkedin.com/company/oracle,85090,206211,206211.0,85090
1685535,nokia,nokia.com,1865.0,telecommunications,10001+,"espoo, uusimaa, finland",finland,linkedin.com/company/nokia,84327,251795,251795.0,84327
4604890,education nationale,education.gouv.fr,,public policy,10001+,"paris, Ã®le-de-france, france",france,linkedin.com/company/education-nationale,84218,101083,101083.0,84218
6021320,capgemini,capgemini.com,1967.0,information technology and services,10001+,"france, aquitaine, france",france,linkedin.com/company/capgemini,84179,203525,203525.0,84179
1373987,wipro technologies,wipro.com,1945.0,information technology and services,10001+,"bangalore, karnataka, india",india,linkedin.com/company/wipro,78261,177368,177368.0,78261
4968033,hsbc,hsbc.com,1865.0,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/hsbc,75640,225649,225649.0,75640
1001070,google,google.com,1998.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/google,75109,131349,131349.0,75109
4186125,united states postal service,usps.com,,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/usps,74357,104159,104159.0,74357
6465913,mcdonald's corporation,aboutmcdonalds.com,1955.0,restaurants,10001+,"oak brook, illinois, united states",united states,linkedin.com/company/mcdonald's-corporation,68233,235199,235199.0,68233
3874979,ericsson,ericsson.com,,information technology and services,10001+,"kista, stockholm, sweden",sweden,linkedin.com/company/ericsson,67692,178578,178578.0,67692
295807,nhs,,1948.0,hospital & health care,10001+,,,linkedin.com/company/nhs,67564,92596,92596.0,67564
651752,boeing,boeing.com,1916.0,aviation & aerospace,10001+,"chicago, illinois, united states",united states,linkedin.com/company/boeing,67261,120776,120776.0,67261
1379366,vodafone,vodafone.com,1982.0,telecommunications,10001+,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/vodafone,66632,174892,174892.0,66632
100292,kaiser permanente,kaiserpermanente.org,1945.0,hospital & health care,10001+,"oakland, california, united states",united states,linkedin.com/company/kaiser-permanente,65839,105240,105240.0,65839
6249577,ford motor company,ford.com,1903.0,automotive,10001+,"dearborn, michigan, united states",united states,linkedin.com/company/ford-motor-company,65335,133963,133963.0,65335
5872179,intel corporation,intel.com,1968.0,semiconductors,10001+,"santa clara, california, united states",united states,linkedin.com/company/intel-corporation,64046,146247,146247.0,64046
2396132,department of veterans affairs,va.gov,1930.0,government administration,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/department-of-veterans-affairs,62685,86489,86489.0,62685
4291705,cisco,cisco.com,1984.0,computer networking,10001+,"san jose, california, united states",united states,linkedin.com/company/cisco,61803,139423,139423.0,61803
5654137,general motors,gm.com,,automotive,10001+,"detroit, michigan, united states",united states,linkedin.com/company/general-motors,61638,128429,128429.0,61638
7076008,pepsico,pepsico.com,1965.0,food & beverages,10001+,"purchase, new york, united states",united states,linkedin.com/company/pepsico,61040,146820,146820.0,61040
1470821,target,target.com,1962.0,retail,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/target,60602,204360,204360.0,60602
2945894,shell,shell.com,1833.0,oil & energy,10001+,"the hague, zuid-holland, netherlands",netherlands,linkedin.com/company/shell,60324,147906,147906.0,60324
4296553,hcl technologies,hcltech.com,1991.0,information technology and services,10001+,"noida, uttar pradesh, india",india,linkedin.com/company/hcl-technologies,59993,127468,127468.0,59993
1752210,ups,ups.com,1907.0,transportation/trucking/railroad,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/ups,59712,132381,132381.0,59712
6001034,pfizer,pfizer.com,1848.0,pharmaceuticals,10001+,"new york, new york, united states",united states,linkedin.com/company/pfizer,59588,176364,176364.0,59588
3844400,unilever,unilever.com,1872.0,consumer goods,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/unilever,58819,168219,168219.0,58819
1104865,nestlÃ©,nestle.com,1866.0,food & beverages,10001+,"vevey, vaud, switzerland",switzerland,linkedin.com/company/nestle-s-a-,58538,139821,139821.0,58538
4979859,unitedhealth group,unitedhealthgroup.com,1980.0,hospital & health care,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/unitedhealth-group,57720,103293,103293.0,57720
3243805,huawei technologies,huawei.com,1987.0,telecommunications,10001+,"shenzhen, guangdong, china",china,linkedin.com/company/huawei,57255,113434,113434.0,57255
5486571,dell,dell.com,1984.0,information technology and services,10001+,"round rock, texas, united states",united states,linkedin.com/company/dell,55945,164468,164468.0,55945
1704309,gsk,gsk.com,1830.0,pharmaceuticals,10001+,"hayes, hillingdon, united kingdom",united kingdom,linkedin.com/company/glaxosmithkline,54117,147725,147725.0,54117
5058468,honeywell,honeywell.com,1985.0,electrical/electronic manufacturing,10001+,"morristown, new jersey, united states",united states,linkedin.com/company/honeywell,51721,123249,123249.0,51721
1360249,sap,sap.com,1972.0,computer software,10001+,,,linkedin.com/company/sap,51441,102773,102773.0,51441
3737260,schlumberger,slb.com,1926.0,oil & energy,10001+,"houston, texas, united states",united states,linkedin.com/company/schlumberger,50715,122759,122759.0,50715
4985291,lockheed martin,lockheedmartin.com,1912.0,defense & space,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/lockheed-martin,50303,117362,117362.0,50303
4083731,"ayatama energi, trisco nusantara",,1999.0,design,10001+,,,linkedin.com/company/ayatama-energi-trisco-nusantara,48806,49370,49370.0,48806
5842173,abb,abb.com,,electrical/electronic manufacturing,10001+,"zurich, zurich, switzerland",switzerland,linkedin.com/company/abb,47434,107903,107903.0,47434
4112520,american center of krasnodar,,,education management,10001+,,,linkedin.com/company/american-center-of-krasnodar,47345,47924,47924.0,47345
2187941,starbucks,starbucks.com,1971.0,retail,10001+,"seattle, washington, united states",united states,linkedin.com/company/starbucks,46523,147107,147107.0,46523
3936147,promobroker agente de seguros y de fianzas s a de c v,,,insurance,10001+,,,linkedin.com/company/promobroker-agente-de-seguros-y-de-fianzas-s-a-de-c-v,44926,45655,45655.0,44926
4107042,morgan stanley,morganstanley.com,1935.0,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/morgan-stanley,44799,141694,141694.0,44799
3117142,the home depot,homedepot.com,1977.0,retail,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/the-home-depot,44630,114799,114799.0,44630
2118,independiente,ailinsemprini.com.ar,,photography,10001+,,,linkedin.com/company/independiente_28,44148,47788,47788.0,44148
4479252,novartis,novartis.com,1996.0,pharmaceuticals,10001+,"basel, basel-city, switzerland",switzerland,linkedin.com/company/novartis,44054,117021,117021.0,44054
1749711,johnson & johnson,jnj.com,1887.0,hospital & health care,10001+,"new brunswick, new jersey, united states",united states,linkedin.com/company/johnson-&-johnson,43985,118073,118073.0,43985
5505720,bp,bp.com,1909.0,oil & energy,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/bp,43657,106895,106895.0,43657
2596333,schneider electric,schneider-electric.com,1836.0,electrical/electronic manufacturing,10001+,"erlanger, kentucky, united states",united states,linkedin.com/company/schneider-electric,43240,94889,94889.0,43240
4520365,state farm,statefarm.com,1922.0,insurance,10001+,"bloomington, illinois, united states",united states,linkedin.com/company/state_farm,43096,88684,88684.0,43096
4842820,secretarÃ­a de educaciÃ³n pÃºblica,sep.gob.mx,,government administration,10001+,,,linkedin.com/company/sep,42795,46758,46758.0,42795
3460593,dhl,dhl.com,1969.0,logistics and supply chain,10001+,"bonn, nordrhein-westfalen, germany",germany,linkedin.com/company/dhl,42501,111977,111977.0,42501
6921751,my home,andyross.net,,publishing,10001+,,,linkedin.com/company/home_59,42341,43742,43742.0,42341
4784855,td,td.com,1955.0,banking,10001+,"toronto, ontario, canada",canada,linkedin.com/company/td,42136,93645,93645.0,42136
2122790,ge,ge.com,1892.0,electrical/electronic manufacturing,10001+,"fairfield, connecticut, united states",united states,linkedin.com/company/ge,42043,136710,136710.0,42043
586049,philips,philips.com,1891.0,hospital & health care,10001+,"guildford, surrey, united kingdom",united kingdom,linkedin.com/company/philips,41732,115665,115665.0,41732
313532,ubs,ubs.com,1862.0,financial services,10001+,"zurich, zurich, switzerland",switzerland,linkedin.com/company/ubs,41445,128075,128075.0,41445
2407251,procter & gamble,pg.com,1837.0,consumer goods,10001+,"cincinnati, ohio, united states",united states,linkedin.com/company/procter-and-gamble,40562,122317,122317.0,40562
5029327,walgreens,walgreens.com,1901.0,retail,10001+,"deerfield, illinois, united states",united states,linkedin.com/company/walgreens,40455,98131,98131.0,40455
6217067,"keller williams realty, inc.",kw.com,1983.0,real estate,10001+,"austin, texas, united states",united states,linkedin.com/company/keller-williams-realty-inc,40325,59266,59266.0,40325
2268961,"lowe's companies, inc.",lowes.com,1946.0,retail,10001+,"mooresville, north carolina, united states",united states,linkedin.com/company/lowe's-home-improvement,39741,91802,91802.0,39741
916981,verbum traducciÃ³n y ediciÃ³n,,,translation and localization,10001+,,,linkedin.com/company/verbum-traducci-n-y-edici-n,39679,39736,39736.0,39679
1958827,united states marine corps,marines.com,,military,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/united-states-marine-corps,38917,165778,165778.0,38917
2636553,dell emc,dellemc.com,1979.0,information technology and services,10001+,"hopkinton, massachusetts, united states",united states,linkedin.com/company/dellemc,38703,80248,80248.0,38703
4482331,tech mahindra,techmahindra.com,1986.0,information technology and services,10001+,"pune, maharashtra, india",india,linkedin.com/company/tech-mahindra,38631,81583,81583.0,38631
825557,verizon wireless,verizonwireless.com,2000.0,telecommunications,10001+,"basking ridge, new jersey, united states",united states,linkedin.com/company/verizon-wireless,38627,93157,93157.0,38627
6233790,sanofi,sanofi.com,,pharmaceuticals,10001+,"paris, Ã®le-de-france, france",france,linkedin.com/company/sanofi,38533,99940,99940.0,38533
1279232,bnp paribas,bnpparibas.com,1848.0,banking,10001+,"paris, Ã®le-de-france, france",france,linkedin.com/company/bnp-paribas,37835,101571,101571.0,37835
1712673,sodexo,sodexo.com,1966.0,facilities services,10001+,,,linkedin.com/company/sodexo,37611,86557,86557.0,37611
4474110,deutsche bank,db.com,1870.0,investment banking,10001+,"frankfurt, hessen, germany",germany,linkedin.com/company/deutsche-bank,37595,118832,118832.0,37595
3515714,tencent,tencent.com,1998.0,internet,10001+,"shenzhen, guangdong, china",china,linkedin.com/company/tencent,37574,42617,42617.0,37574
2769600,j.p. morgan,jpmorgan.com,,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/j-p-morgan,37431,98722,98722.0,37431
900902,verizon,verizon.com,1983.0,information technology and services,10001+,"basking ridge, new jersey, united states",united states,linkedin.com/company/verizon,37368,85643,85643.0,37368
323766,l'orÃ©al,loreal.com,,cosmetics,10001+,"paris, Ã®le-de-france, france",france,linkedin.com/company/loreal,37319,107296,107296.0,37319
5827698,kpmg,kpmg.com,1987.0,accounting,10001+,"montvale, new jersey, united states",united states,linkedin.com/company/kpmg,36853,111980,111980.0,36853
5626776,orange,orange.com,1988.0,telecommunications,10001+,"paris, Ã®le-de-france, france",france,linkedin.com/company/orange,36340,92180,92180.0,36340
3621470,linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622,43622.0,36309
6821034,barclays,barclays.com,,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/barclays-bank,36200,105849,105849.0,36200
3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,49059.0,36149
4837091,northrop grumman corporation,northropgrumman.com,1939.0,defense & space,10001+,"falls church, virginia, united states",united states,linkedin.com/company/northrop-grumman-corporation,35965,76734,76734.0,35965
3281536,fca fiat chrysler automobiles,fcagroup.com,1925.0,automotive,10001+,"turin, turin, italy",united kingdom,linkedin.com/company/fcagroup,35891,71331,71331.0,35891
564320,adp,adp.com,1949.0,human resources,10001+,"roseland, new jersey, united states",united states,linkedin.com/company/adp,35686,81555,81555.0,35686
6924238,medtronic,medtronic.com,1949.0,medical devices,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/medtronic,35664,68465,68465.0,35664
2157414,abbott,abbott.com,1980.0,hospital & health care,10001+,"illinois city, illinois, united states",united states,linkedin.com/company/abbott-,35603,95035,95035.0,35603
4520410,chevron,chevron.com,1879.0,oil & energy,10001+,"san ramon, california, united states",united states,linkedin.com/company/chevron,34995,71825,71825.0,34995
1774905,roche,roche.com,1896.0,biotechnology,10001+,"basel, basel-city, switzerland",switzerland,linkedin.com/company/roche,34844,81068,81068.0,34844
370296,american express,americanexpress.com,1850.0,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/american-express,34816,104036,104036.0,34816
1603851,samsung electronics,samsung.com,1938.0,electrical/electronic manufacturing,10001+,"none, south carolina, united states",united states,linkedin.com/company/samsung-electronics,34021,77267,77267.0,34021
2617180,macy's,macysjobs.com,1858.0,retail,10001+,"cincinnati, ohio, united states",united states,linkedin.com/company/macy,33795,110896,110896.0,33795
3316706,thomson reuters,tr.com,2008.0,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/thomson-reuters,33745,96521,96521.0,33745
4186489,ministerio de educaciÃ³n,,,education management,10001+,,,linkedin.com/company/ministerio-de-educacion,33679,39862,39862.0,33679
3931276,avon,avoncompany.com,1886.0,cosmetics,10001+,"new york, new york, united states",united states,linkedin.com/company/avon,33670,64294,64294.0,33670
1596877,cgi,cgi.com,1976.0,information technology and services,10001+,"montrÃ©al, quebec, canada",canada,linkedin.com/company/cgi,33615,74922,74922.0,33615
480448,cvs health,cvshealth.com,1963.0,pharmaceuticals,10001+,"woonsocket, rhode island, united states",united states,linkedin.com/company/cvs-health,33408,70569,70569.0,33408
2030116,halliburton,halliburton.com,1919.0,oil & energy,10001+,"houston, texas, united states",united states,linkedin.com/company/halliburton,33250,75939,75939.0,33250
1693509,atos,atos.net,1997.0,information technology and services,10001+,"bezons, ile-de-france, france",france,linkedin.com/company/atos,32927,83052,83052.0,32927
5115047,pcs informatica,padulahodkin.com,,information technology and services,10001+,,,linkedin.com/company/pcs-informatica,32673,33132,33132.0,32673
5074544,ge healthcare,gehealthcare.com,1892.0,hospital & health care,10001+,"buckingham, buckinghamshire, united kingdom",united kingdom,linkedin.com/company/gehealthcare,32636,73081,73081.0,32636
875144,csc,csc.com,1959.0,information technology and services,10001+,"falls church, virginia, united states",united states,linkedin.com/company/csc,32601,120065,120065.0,32601
2990345,merck,merck.com,1891.0,pharmaceuticals,10001+,"kenilworth, new jersey, united states",united states,linkedin.com/company/merck,32210,93774,93774.0,32210
5981328,kpmg,beaconpartners.com,,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/kpmg-us,32208,133446,133446.0,32208
4561063,banco santander,santander.com,1857.0,banking,10001+,"boadilla del monte, madrid, spain",spain,linkedin.com/company/banco-santander,32008,84270,84270.0,32008
4375149,scotiabank,scotiabank.com,1832.0,banking,10001+,"toronto, ontario, canada",canada,linkedin.com/company/scotiabank,31726,65086,65086.0,31726
2586611,dxc technology,dxc.technology,2017.0,information technology and services,10001+,,united states,linkedin.com/company/dxctechnology,31671,39585,39585.0,31671
5305312,johnson controls,johnsoncontrols.com,1885.0,mechanical or industrial engineering,10001+,"milwaukee, wisconsin, united states",united states,linkedin.com/company/johnson-controls,31630,83000,83000.0,31630
4539986,posteamos.com,posteamos.com,2012.0,broadcast media,10001+,,,linkedin.com/company/posteamos-com,31626,31952,31952.0,31626
4800244,allstate,al.st,1931.0,insurance,10001+,"northbrook, illinois, united states",united states,linkedin.com/company/allstate,31490,63117,63117.0,31490
1704977,petrobras,petrobras.com.br,1953.0,oil & energy,10001+,"rio de janeiro, rio de janeiro, brazil",brazil,linkedin.com/company/petrobras,31454,51919,51919.0,31454
451029,credit suisse,credit-suisse.com,1856.0,banking,10001+,"zurich, zurich, switzerland",switzerland,linkedin.com/company/credit-suisse,31429,96595,96595.0,31429
4191852,telefÃ³nica,telefonica.com,1924.0,telecommunications,10001+,"madrid, madrid, spain",spain,linkedin.com/company/telefÃ³nica,31175,76432,76432.0,31175
3443830,marriott international,marriott.com,1927.0,hospitality,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/marriott-international,31146,79978,79978.0,31146
2646059,axa,axa.com,,insurance,10001+,"paris, Ã®le-de-france, france",france,linkedin.com/company/axa,31068,75432,75432.0,31068
5146352,3m health care,3m.com,1902.0,mechanical or industrial engineering,10001+,"saint paul, minnesota, united states",united states,linkedin.com/company/3m,30937,69130,69130.0,30937
5216532,standard chartered bank,sc.com,,banking,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/standardchartered,30830,76125,76125.0,30830
7024799,xerox,xerox.com,1906.0,information technology and services,10001+,"norwalk, connecticut, united states",united states,linkedin.com/company/xerox,30765,109494,109494.0,30765
2077517,cbre,cbre.com,,real estate,10001+,"los angeles, california, united states",united states,linkedin.com/company/cbre,30665,65597,65597.0,30665
4338964,nyc department of education,nyc.gov,,education management,10001+,"new york, new york, united states",united states,linkedin.com/company/nyc-department-of-education,30526,45049,45049.0,30526
3896633,goldman sachs,goldmansachs.com,1869.0,investment banking,10001+,"new york, new york, united states",united states,linkedin.com/company/goldman-sachs,30470,92407,92407.0,30470
2359512,fidelity investments,fidelity.com,1946.0,financial services,10001+,"boston, massachusetts, united states",united states,linkedin.com/company/fidelity-investments,30346,75432,75432.0,30346
1732530,icici bank,icicibank.com,1994.0,banking,10001+,"bombay, maharashtra, india",india,linkedin.com/company/icici-bank,30286,72644,72644.0,30286
5203089,exxonmobil,exxonmobil.com,1999.0,oil & energy,10001+,"irving, texas, united states",united states,linkedin.com/company/exxonmobil,30131,72412,72412.0,30131
5144247,t-mobile,tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100,71654,71654.0,30100
1823679,aon,aon.com,1987.0,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/aon,30079,86714,86714.0,30079
6862042,royal bank of scotland,rbs.com,,banking,10001+,"edinburgh, edinburgh, united kingdom",united kingdom,linkedin.com/company/royal-bank-of-scotland,29942,105000,105000.0,29942
761202,astrazeneca,astrazeneca.com,1999.0,pharmaceuticals,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/astrazeneca,29930,79360,79360.0,29930
6379771,nike,nike.com,1972.0,sporting goods,10001+,"beaverton, oregon, united states",united states,linkedin.com/company/nike,29731,73269,73269.0,29731
3749350,basf,basf.com,1865.0,chemicals,10001+,"ludwigshafen, rheinland-pfalz, germany",germany,linkedin.com/company/basf,29673,64209,64209.0,29673
1047582,hdfc bank,hdfcbank.com,1994.0,banking,10001+,,,linkedin.com/company/hdfc-bank,29653,58711,58711.0,29653
5407625,best buy,bestbuy.com,1966.0,retail,10001+,"richfield, minnesota, united states",united states,linkedin.com/company/best-buy,29568,120812,120812.0,29568
5232410,american airlines,aa.com,1930.0,airlines/aviation,10001+,"fort worth, texas, united states",united states,linkedin.com/company/american-airlines,29498,50719,50719.0,29498
2461776,baker hughes,bhge.com,,oil & energy,10001+,"houston, texas, united states",united states,linkedin.com/company/bhge,29481,62909,62909.0,29481
4458517,the coca-cola company,coca-colacompany.com,1892.0,food & beverages,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/the-coca-cola-company,29278,77857,77857.0,29278
630655,genpact,genpact.com,1997.0,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/genpact,29262,61600,61600.0,29262
260854,jll,jll.com,,commercial real estate,10001+,"chicago, illinois, united states",united states,linkedin.com/company/jll,29101,59098,59098.0,29101
5485082,rbc,rbc.com,1864.0,banking,10001+,"toronto, ontario, canada",canada,linkedin.com/company/rbc,28889,60194,60194.0,28889
4924366,u.s. bank,usbank.com,,banking,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/us-bank,28763,62476,62476.0,28763
2483338,larsen & toubro,larsentoubro.com,,construction,10001+,"bombay, maharashtra, india",india,linkedin.com/company/larsen-&-toubro-limited,28206,57709,57709.0,28206
3237014,continental,continental-corporation.com,1871.0,automotive,10001+,"od, bayern, germany",germany,linkedin.com/company/continental,28156,53657,53657.0,28156
7145742,pnc,pnc.com,2014.0,financial services,10001+,"pittsburgh, pennsylvania, united states",united states,linkedin.com/company/pnc-bank,28132,59821,59821.0,28132
6629901,sprint,sprint.com,1899.0,telecommunications,10001+,"overland park, kansas, united states",united states,linkedin.com/company/sprint,28008,87996,87996.0,28008
4152474,saudi aramco,saudiaramco.com,1933.0,oil & energy,10001+,"dhahran, eastern province, saudi arabia",saudi arabia,linkedin.com/company/saudi-aramco,27631,40870,40870.0,27631
704809,g4s,g4s.com,1901.0,security and investigations,10001+,"crawley, west sussex, united kingdom",united kingdom,linkedin.com/company/g4s,27599,58905,58905.0,27599
5740063,airbus,airbusgroup.com,2014.0,aviation & aerospace,10001+,"arlington, virginia, united states",united states,linkedin.com/company/airbusgroup,27548,65277,65277.0,27548
762687,capital one,capitalone.com,1994.0,financial services,10001+,"mclean, virginia, united states",united states,linkedin.com/company/capital-one,27522,62144,62144.0,27522
5761469,delta air lines,delta.com,1928.0,airlines/aviation,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/delta-air-lines,27331,45222,45222.0,27331
3829495,carrefour,carrefour.fr,,supermarkets,10001+,"boulogne-billancourt, ile-de-france, france",france,linkedin.com/company/carrefour,27313,86711,86711.0,27313
5962263,ninguna,networkingchats.com,,"health, wellness and fitness",10001+,,,linkedin.com/company/ninguna,27288,33916,33916.0,27288
1368891,merrill lynch,ml.com,1914.0,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/merrilllynch,27206,115216,115216.0,27206
4852349,mondelÄ“z international,mondelezinternational.com,1903.0,food production,10001+,"deerfield, illinois, united states",united states,linkedin.com/company/mondelezinternational,27152,70560,70560.0,27152
977265,bt,btplc.com,1981.0,telecommunications,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/bt,26894,75086,75086.0,26894
1046108,h&m,hm.com,1947.0,retail,10001+,"stockholm, stockholms lan, sweden",sweden,linkedin.com/company/h&m,26331,62664,62664.0,26331
3882572,anz,anz.com,1835.0,banking,10001+,"melbourne, victoria, australia",australia,linkedin.com/company/anz,26156,62120,62120.0,26156
4665946,farmers insurance,farmers.com,1928.0,insurance,10001+,"los angeles, california, united states",united states,linkedin.com/company/farmers-insurance,26029,50471,50471.0,26029
1220886,aecom,aecom.com,1990.0,civil engineering,10001+,"los angeles, california, united states",united states,linkedin.com/company/aecom,26008,55877,55877.0,26008
4287807,united states department of defense,defense.gov,1947.0,military,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/united-states-department-of-defense,26000,50520,50520.0,26000
5573830,metlife,metlife.com,1868.0,insurance,10001+,"new york, new york, united states",united states,linkedin.com/company/metlife,25967,66578,66578.0,25967
2777830,total,total.com,1924.0,oil & energy,10001+,"san diego, california, united states",united states,linkedin.com/company/total,25780,64080,64080.0,25780
4814408,ikea group,ikea.com,,retail,10001+,"malmÃ¶, skÃ¥ne, sweden",sweden,linkedin.com/company/ikea-group,25734,68830,68830.0,25734
6371940,cargill,cargill.com,1865.0,food production,10001+,"wayzata, minnesota, united states",united states,linkedin.com/company/cargill,25321,58954,58954.0,25321
318545,bae systems,baesystems.com,1999.0,defense & space,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/bae-systems,25166,62806,62806.0,25166
6041581,united airlines,united.com,1926.0,airlines/aviation,10001+,"chicago, illinois, united states",united states,linkedin.com/company/united-airlines,24967,42756,42756.0,24967
1085203,lavoratore indipendente,,,medical practice,10001+,,,linkedin.com/company/lavoratore-indipendente,24759,25286,25286.0,24759
4303138,mary kay inc.,marykay.com,1963.0,cosmetics,10001+,"addison, texas, united states",united states,linkedin.com/company/mary-kay-inc,24699,33206,33206.0,24699
2418053,liberty mutual insurance,libertymutualgroup.com,1912.0,insurance,10001+,"boston, massachusetts, united states",united states,linkedin.com/company/liberty-mutual-insurance,24623,52078,52078.0,24623
3408384,comcast,comcast.com,1963.0,media production,10001+,"philadelphia, pennsylvania, united states",united states,linkedin.com/company/comcast,24515,50032,50032.0,24515
6655777,caterpillar inc.,caterpillar.com,1925.0,machinery,10001+,"peoria heights, illinois, united states",united states,linkedin.com/company/caterpillar-inc,24304,52292,52292.0,24304
5373721,jacobs,jacobs.com,1947.0,construction,10001+,"pasadena, california, united states",united states,linkedin.com/company/jacobs,24241,53719,53719.0,24241
